FID,longitude,latitude,Vs30,EAF1,EAF2,EAF3,EAF4,EAF5,2sec_Amplification,3sec_Amplification,5sec_Amplification,10sec_Amplification,StationNam,
115,-117.574,34.104,390,1.32751617,2.065609526,0,0,0,0.49351579,0.149801672,-0.024900945,-0.14616774,RanchoCucamonga-LawandJustinceCenterFFFoothillandHaven,
116,-118.404,33.743,530,2.511712004,2.325522977,2.110800125,2.214702148,1.970345458,-0.66054821,-0.530121088,-0.397767872,-0.3258259,RanchoPalosVerdes,
117,-118.335,33.74,509,0.520475832,0.405158022,0.319833079,0.162595255,0.143394194,-0.199947819,-0.110976361,-0.104466885,-0.198161379,RanchoPalosVerdes-Luconia,
118,-117.224,34.005,488,0.915930812,1.08599418,0.965933205,1.110462463,1.185579438,0.0565814,-0.029354641,-0.085682958,-0.113231793,RecheCanyon-OliveDellRanch,
119,-118.51,34.193,287,3.001932835,3.726538653,3.397007359,3.476841379,3.457782957,0.289401382,0.36947149,0.3259013,0.201028436,Reseda-FireStation100,
120,-117.398,34.069,325,1.998053888,1.296101173,1.195168118,1.16511,0,0.360391349,0.112692304,-0.109179154,-0.168399632,Rialto-I10Cedar,
121,-118.478,34.281,282,4.041324672,3.894740751,3.521200599,2.984177728,2.990026088,0.668670893,0.772067487,0.777538717,0.565119922,RinaldiReceivingSta,
122,-117.98,34.105,372,2.196818584,2.499906937,2.574607323,2.316977492,2.192679644,0.686605453,0.69181639,0.661425054,0.341712236,RioHondo,
123,-117.376,33.994,356,0.787452232,0.853360469,0.844210597,0.828791087,0.780047635,0.033101786,-0.207121357,-0.376183212,-0.338633418,Riverside,
124,-117.488,33.919,335,0.623662861,0.767038432,0.98054945,1.309224456,1.479316304,-0.352286577,-0.437319726,-0.481944263,-0.418298364,Riverside-HoleLaSierra,
125,-117.388,33.951,323,1.443277991,1.354758318,1.464503855,0,0,-0.214451239,-0.399631888,-0.511387289,-0.428778142,Riverside-Hwy91Central,
126,-117.443,33.917,333,1.606193894,1.324497558,1.963765534,0,0,-0.37816292,-0.482128829,-0.543055356,-0.455222219,Riverside-Hwy91VanBuren,
127,-117.344,33.979,341,2.63400714,1.514359822,1.665582225,1.426134092,1.449405739,-0.042274904,-0.236225143,-0.383814842,-0.333383709,Riverside-I2153rd,
128,-117.486,33.975,330,0.848904645,0.848400724,0.986274453,1.409749841,1.453588372,-0.14797999,-0.333855987,-0.445235461,-0.404846787,Riverside-LimoniteDowney,
129,-117.32,33.895,582,0.957426846,1.058229515,1.409115636,0,0,-0.618940473,-0.661371291,-0.661311507,-0.504667997,Riverside-VanBurenTrautwein,
130,-117.446,33.951,390,0.731518586,0.821126297,0.994066718,0.86746589,1.074589299,-0.233166799,-0.40327099,-0.505273044,-0.43718344,RiversideAirport,
131,-117.327,33.973,360,1.618023067,1.486302425,1.434072702,1.346536313,1.259283265,-0.112601258,-0.270572871,-0.397556752,-0.337443292,RiversideSurface,
132,-117.327,33.973,360,1.845082975,1.667118464,1.584701009,1.582036766,1.534578354,-0.112601258,-0.270572871,-0.397556752,-0.337443292,RiversideUCRcampus,
133,-118.356,33.787,473,1.908097184,1.595471872,1.777199414,1.574469039,1.593523011,0.028515352,0.151386783,0.372976571,0.087190688,RollingHillsEst-RanchoVista,
134,-118.081,34.051,279,2.890234291,3.117477866,3.201734484,3.011763043,2.999395211,0.839467227,0.892538011,0.829582572,0.497974783,Rush,
135,-118.646,34.059,750,1.467443706,1.364959507,1.200511439,1.329870563,1.348605951,-0.265582502,-0.27853781,-0.385376275,-0.302354008,SaddlePeakFireCamp8,
136,-117.662,33.553,421,3.577153167,3.627216661,3.419398653,3.03458379,2.661216618,-0.491430879,-0.532742798,-0.421803802,-0.394509345,Saddleback,
137,-117.251,34.166,643,1.350757173,1.429253265,1.148661808,1.341220727,1.386473579,0.265239984,0.20376429,0.173284009,0.039603122,SanBernardino-DelRosaWkSta,
138,-117.331,34.224,760,1.242443234,0.939542229,0.784497599,0,0,0.097469561,0.067539074,0.086954609,-0.003624585,SanBernardino-DevilCanyonPenstock,
139,-117.292,34.065,297,3.335842599,4.335481767,3.276439684,4.119172375,4.627577813,0.737247884,0.695161879,0.367683202,0.095182106,SanBernardino-EHospitality,
140,-117.289,34.091,279,3.179232555,4.055533687,3.846228662,4.548910573,4.058008206,0.714342892,0.657226026,0.365171224,0.103960685,SanBernardino-FireSta.#10,
141,-117.275,34.069,317,3.838945738,4.179792802,4.102235761,4.106981293,3.06947037,0.828791618,0.816017807,0.45628345,0.14055568,SanBernardino-FireSta.#11,
142,-117.294,34.14,323,2.664360787,2.793406006,2.029648716,1.943567978,1.891817023,0.694029391,0.665769517,0.409965843,0.141497836,SanBernardino-FireSta.#4,
143,-117.288,34.165,441,1.998649117,1.371815997,1.08231407,1.043741502,0.909854709,0.342449635,0.288845271,0.215460524,0.060629137,SanBernardino-FireSta.#7,
144,-117.349,34.103,326,1.949598509,2.133115112,1.984830579,1.987947572,2.005548494,0.663901389,0.530534267,0.23323302,0.02997352,SanBernardino-FireSta.#9,
145,-117.283,34.105,444,2.689040531,3.254353433,2.928235425,2.801180169,2.457267582,0.678391933,0.622480333,0.365772694,0.112391323,SanBernardino-FSNo.01,
146,-117.288,34.123,426,2.302525265,2.699973398,2.21639886,2.020995458,1.984333676,0.707515657,0.672542632,0.409501225,0.139345616,SanBernardino-LincolnSchool,
147,-117.322,34.135,329,2.220603003,2.207262563,1.590641961,1.383041676,0,0.63165009,0.565431118,0.327315778,0.098730952,SanBernardino-MedicalCenter,
148,-117.277,34.047,359,2.569864225,3.572360792,2.835628559,2.88420319,3.413186364,0.501867414,0.427862406,0.186979905,0.005567318,SanBernardino-Mont.MemPk,
149,-117.287,34.096,314,2.707786557,3.443392925,3.292788817,3.370154534,3.350503972,0.700188041,0.64213866,0.362833112,0.105531022,SanBernardino-MtnVwClstr,
150,-117.365,34.205,496,1.556225401,1.486165277,1.258608327,1.370888561,1.554437747,0.16417338,0.122880429,0.111986324,0.013615785,SanBernardino-NVerdemontSch,
151,-117.219,34.145,396,2.233390377,1.817093275,1.484319897,1.769208136,1.634609722,0.26222381,0.174895018,0.164849445,0.039763357,SanBernardino-SerranoSchool,
152,-117.427,34.193,631,0.814665214,0.876546013,1.074917762,0.923212655,0.941629945,0.218019783,0.112131059,0.084099211,-0.013002694,SanBernardino-SycamoreFS,
153,-117.681,33.487,406,2.275441537,2.648274638,0,0,0,-0.453413159,-0.495851219,-0.369432271,-0.348523736,SanJuanCapistrano#2,
154,-117.886,33.704,222,2.623257289,3.254433453,3.145516132,3.301170311,2.978946006,0.287475526,0.38247475,0.484537303,0.33235231,SantaAna,
155,-117.844,33.748,306,2.737920508,2.782875563,2.608845098,2.812016693,2.735613724,0.329633683,0.417874008,0.419647336,0.214700758,SantaAna-I54thSt,
156,-119.187,34.303,490,2.323654693,3.464325723,3.711155136,3.542414283,3.244301929,0.550199986,0.781990469,0.821957588,0.778534353,SantaClara,
157,-118.065,33.962,261,3.288611339,3.601934753,2.924855691,0,0,0.807367504,0.970923781,1.028958678,0.793438911,SantaFeSprings-DiceSlauson,
158,-118.456,34.014,378,2.768568263,3.174553913,3.52545044,3.402802003,3.433616955,0.500994742,0.622802675,0.759422839,0.589519382,SantaMonicaFireSt,
